,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,city-L/100km,horsepower-binned,diesel,gas
33,1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073042,0.8888888889,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7.8333333333,Low,0,1
34,0,110,honda,std,four,sedan,fwd,front,96.5,0.7851994234,0.8888888889,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7.8333333333,Low,0,1
35,0,78,honda,std,four,wagon,fwd,front,96.5,0.7549255166,0.8875,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7.8333333333,Low,0,1
36,0,106,honda,std,two,hatchback,fwd,front,96.5,0.8049014897,0.9055555556,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8.7037037037,Low,0,1
37,0,106,honda,std,two,hatchback,fwd,front,96.5,0.8049014897,0.9055555556,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8.7037037037,Low,0,1
38,0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640077,0.9055555556,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8.7037037037,Low,0,1
39,0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640077,0.8680555556,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8.7037037037,Low,0,1
40,0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640077,0.9055555556,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,9.7916666667,Low,0,1
41,1,107,honda,std,two,sedan,fwd,front,96.5,0.8125901009,0.9166666667,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,9.4,Low,0,1
42,0,122,isuzu,std,four,sedan,rwd,front,94.3,0.8202787122,0.8583333333,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,9.7916666667,Low,0,1
43,2,122,isuzu,std,two,hatchback,rwd,front,96,0.829408938,0.9055555556,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,9.7916666667,Low,0,1
44,0,145,jaguar,std,four,sedan,rwd,front,113,0.9591542528,0.9666666667,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,15.6666666667,High,0,1
45,0,122,jaguar,std,four,sedan,rwd,front,113,0.9591542528,0.9666666667,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,15.6666666667,High,0,1
46,0,122,jaguar,std,two,sedan,rwd,front,102,0.9211917347,0.9805555556,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,18.0769230769,,0,1
47,1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806,0.8916666667,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,7.8333333333,Low,0,1
48,1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806,0.8916666667,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,7.5806451613,Low,0,1
49,1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806,0.8916666667,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,7.5806451613,Low,0,1
50,1,113,mazda,std,four,sedan,fwd,front,93.1,0.8015377222,0.8916666667,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,7.5806451613,Low,0,1
51,1,113,mazda,std,four,sedan,fwd,front,93.1,0.8015377222,0.8916666667,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7.5806451613,Low,0,1
52,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627,0.9125,49.6,2380,rotor,two,70,4bbl,3.3297512438,,9.4,101,6000,17,23,13.8235294118,Low,0,1
53,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627,0.9125,49.6,2380,rotor,two,70,4bbl,3.3297512438,,9.4,101,6000,17,23,13.8235294118,Low,0,1
54,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627,0.9125,49.6,2385,rotor,two,70,4bbl,3.3297512438,,9.4,101,6000,17,23,13.8235294118,Low,0,1
55,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627,0.9125,49.6,2500,rotor,two,80,mpfi,3.3297512438,,9.4,135,6000,16,23,14.6875,Medium,0,1
56,1,129,mazda,std,two,hatchback,fwd,front,98.8,0.8543969246,0.9236111111,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,9.0384615385,Low,0,1
57,0,115,mazda,std,four,sedan,fwd,front,98.8,0.8543969246,0.9236111111,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,9.0384615385,Low,0,1
58,1,129,mazda,std,two,hatchback,fwd,front,98.8,0.8543969246,0.9236111111,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,9.0384615385,Low,0,1
59,0,115,mazda,std,four,sedan,fwd,front,98.8,0.8543969246,0.9236111111,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,9.0384615385,Low,0,1
60,0,122,mazda,std,four,sedan,fwd,front,98.8,0.8543969246,0.9236111111,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,6.5277777778,Low,1,0
61,0,115,mazda,std,four,hatchback,fwd,front,98.8,0.8543969246,0.9236111111,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,9.0384615385,Low,0,1
62,0,118,mazda,std,four,sedan,rwd,front,104.9,0.8409418549,0.9180555556,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,12.3684210526,Medium,0,1
63,0,122,mazda,std,four,sedan,rwd,front,104.9,0.8409418549,0.9180555556,54.4,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,7.5806451613,Low,1,0
64,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,110,0.9173474291,0.9763888889,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,10.6818181818,Medium,1,0
65,-1,93,mercedes-benz,turbo,four,wagon,rwd,front,110,0.9173474291,0.9763888889,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,10.6818181818,Medium,1,0
66,0,93,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,0.9010091302,0.9763888889,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,10.6818181818,Medium,1,0
67,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,115.6,0.9735703988,0.9958333333,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,10.6818181818,Medium,1,0
68,-1,122,mercedes-benz,std,four,sedan,rwd,front,115.6,0.9735703988,0.9958333333,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,14.6875,Medium,0,1
69,3,142,mercedes-benz,std,two,convertible,rwd,front,96.6,0.8664103796,0.9791666667,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,14.6875,Medium,0,1
70,0,122,mercedes-benz,std,four,sedan,rwd,front,120.9,1,0.9958333333,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,16.7857142857,High,0,1
71,1,122,mercedes-benz,std,two,hardtop,rwd,front,112,0.9572321,1,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,16,16.7857142857,High,0,1
72,1,122,mercury,turbo,two,hatchback,rwd,front,102.7,0.8572801538,0.9444444444,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,12.3684210526,High,0,1
73,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.755886593,0.8944444444,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,6.3513513514,Low,0,1
74,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.755886593,0.8944444444,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,7.5806451613,Low,0,1
75,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.755886593,0.8944444444,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,7.5806451613,Low,0,1
76,1,161,mitsubishi,turbo,two,hatchback,fwd,front,93,0.755886593,0.8861111111,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,9.7916666667,Medium,0,1
77,3,153,mitsubishi,turbo,two,hatchback,fwd,front,96.3,0.8313310908,0.9083333333,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,10.2173913043,Medium,0,1
78,3,153,mitsubishi,std,two,hatchback,fwd,front,96.3,0.8313310908,0.9083333333,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,9.4,Low,0,1
79,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672,0.9208333333,50.2,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,24,12.3684210526,Medium,0,1
80,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672,0.9208333333,50.2,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,12.3684210526,Medium,0,1
81,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672,0.9208333333,50.2,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,12.3684210526,Medium,0,1
82,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616,0.9083333333,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,9.4,Low,0,1
83,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616,0.9083333333,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,9.4,Low,0,1
84,1,125,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.8284478616,0.9083333333,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,10.2173913043,Medium,0,1
85,-1,137,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616,0.9083333333,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,10.2173913043,Medium,0,1
86,1,128,nissan,std,two,sedan,fwd,front,94.5,0.7943296492,0.8861111111,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.5806451613,Low,0,1
87,1,128,nissan,std,two,sedan,fwd,front,94.5,0.7943296492,0.8861111111,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,5.2222222222,Low,1,0
88,1,128,nissan,std,two,sedan,fwd,front,94.5,0.7943296492,0.8861111111,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.5806451613,Low,0,1
89,1,122,nissan,std,four,sedan,fwd,front,94.5,0.7943296492,0.8861111111,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.5806451613,Low,0,1
90,1,103,nissan,std,four,wagon,fwd,front,94.5,0.8178760211,0.8861111111,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.5806451613,Low,0,1
91,1,128,nissan,std,two,sedan,fwd,front,94.5,0.7943296492,0.8861111111,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.5806451613,Low,0,1
92,1,128,nissan,std,two,hatchback,fwd,front,94.5,0.7957712638,0.8861111111,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.5806451613,Low,0,1
93,1,122,nissan,std,four,sedan,fwd,front,94.5,0.7943296492,0.8861111111,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.5806451613,Low,0,1
94,1,103,nissan,std,four,wagon,fwd,front,94.5,0.8178760211,0.8861111111,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.5806451613,Low,0,1
95,2,168,nissan,std,two,hardtop,fwd,front,95.1,0.7803940413,0.8861111111,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.5806451613,Low,0,1
96,0,106,nissan,std,four,hatchback,fwd,front,97.2,0.8332532436,0.9055555556,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8.7037037037,Low,0,1
97,0,106,nissan,std,four,sedan,fwd,front,97.2,0.8332532436,0.9055555556,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8.7037037037,Low,0,1
98,0,128,nissan,std,four,sedan,fwd,front,100.4,0.8731379145,0.9236111111,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13.8235294118,Medium,0,1
99,0,108,nissan,std,four,wagon,fwd,front,100.4,0.8870735223,0.9236111111,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13.8235294118,Medium,0,1
100,0,108,nissan,std,four,sedan,fwd,front,100.4,0.8870735223,0.9236111111,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,12.3684210526,Medium,0,1
101,3,194,nissan,std,two,hatchback,rwd,front,91.3,0.8202787122,0.9430555556,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,12.3684210526,High,0,1
102,3,194,nissan,turbo,two,hatchback,rwd,front,91.3,0.8202787122,0.9430555556,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,13.8235294118,High,0,1
103,1,231,nissan,std,two,hatchback,rwd,front,99.2,0.857760692,0.9430555556,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,12.3684210526,High,0,1
104,0,161,peugot,std,four,sedan,rwd,front,107.9,0.8971648246,0.95,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12.3684210526,Low,0,1
105,0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.8971648246,0.95,56.7,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,33,8.3928571429,Low,1,0
106,0,122,peugot,std,four,wagon,rwd,front,114.2,0.9557904853,0.95,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12.3684210526,Low,0,1
107,0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.9557904853,0.95,58.7,3430,l,four,152,idi,3.7,3.52,21,95,4150,25,25,9.4,Low,1,0
108,0,161,peugot,std,four,sedan,rwd,front,107.9,0.8971648246,0.95,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,12.3684210526,Low,0,1
109,0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.8971648246,0.95,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,8.3928571429,Low,1,0
110,0,122,peugot,std,four,wagon,rwd,front,114.2,0.9557904853,0.95,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,12.3684210526,Low,0,1
111,0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.9557904853,0.95,58.7,3485,l,four,152,idi,3.7,3.52,21,95,4150,25,25,9.4,Low,1,0
112,0,161,peugot,std,four,sedan,rwd,front,107.9,0.8971648246,0.95,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12.3684210526,Low,0,1
113,0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.8971648246,0.95,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,8.3928571429,Low,1,0
114,0,161,peugot,turbo,four,sedan,rwd,front,108,0.8971648246,0.9486111111,56,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24,13.0555555556,Medium,0,1
115,1,119,plymouth,std,two,hatchback,fwd,front,93.7,0.755886593,0.8861111111,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,6.3513513514,Low,0,1
116,1,119,plymouth,turbo,two,hatchback,fwd,front,93.7,0.755886593,0.8861111111,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,9.7916666667,Medium,0,1
117,1,154,plymouth,std,four,hatchback,fwd,front,93.7,0.755886593,0.8861111111,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.5806451613,Low,0,1
118,1,154,plymouth,std,four,sedan,fwd,front,93.7,0.8039404133,0.8861111111,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.5806451613,Low,0,1
119,1,154,plymouth,std,four,sedan,fwd,front,93.7,0.8039404133,0.8861111111,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7.5806451613,Low,0,1
120,-1,74,plymouth,std,four,wagon,fwd,front,103.3,0.8390197021,0.8972222222,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,9.7916666667,Low,0,1
121,3,122,plymouth,turbo,two,hatchback,rwd,front,95.9,0.8322921672,0.9208333333,50.2,2818,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,12.3684210526,Medium,0,1
122,3,186,porsche,std,two,hatchback,rwd,front,94.5,0.8116290245,0.9486111111,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,12.3684210526,Medium,0,1
123,3,122,porsche,std,two,hardtop,rwd,rear,89.5,0.8116290245,0.9027777778,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,13.8235294118,High,0,1
124,3,122,porsche,std,two,hardtop,rwd,rear,89.5,0.8116290245,0.9027777778,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,13.8235294118,High,0,1
125,3,122,porsche,std,two,convertible,rwd,rear,89.5,0.8116290245,0.9027777778,51.6,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,13.8235294118,High,0,1
126,0,122,renault,std,four,wagon,fwd,front,96.1,0.8721768381,0.9236111111,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104.2561576355,5125.3694581281,23,31,10.2173913043,Medium,0,1
127,2,122,renault,std,two,hatchback,fwd,front,96.1,0.8495915425,0.925,50.5,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104.2561576355,5125.3694581281,23,31,10.2173913043,Medium,0,1
128,3,150,saab,std,two,hatchback,fwd,front,99.1,0.8966842864,0.9236111111,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11.1904761905,Medium,0,1
129,2,104,saab,std,four,sedan,fwd,front,99.1,0.8966842864,0.9236111111,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,11.1904761905,Medium,0,1
130,3,150,saab,std,two,hatchback,fwd,front,99.1,0.8966842864,0.9236111111,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,11.1904761905,Medium,0,1
131,2,104,saab,std,four,sedan,fwd,front,99.1,0.8966842864,0.9236111111,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,11.1904761905,Medium,0,1
132,3,150,saab,turbo,two,hatchback,fwd,front,99.1,0.8966842864,0.9236111111,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,12.3684210526,High,0,1
133,2,104,saab,turbo,four,sedan,fwd,front,99.1,0.8966842864,0.9236111111,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,12.3684210526,High,0,1
134,2,83,subaru,std,two,hatchback,fwd,front,93.7,0.7539644402,0.8805555556,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,31,36,7.5806451613,Low,0,1
135,2,83,subaru,std,two,hatchback,fwd,front,93.7,0.7587698222,0.8833333333,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,9.0384615385,Low,0,1
136,2,83,subaru,std,two,hatchback,4wd,front,93.3,0.755886593,0.8861111111,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,9.0384615385,Low,0,1
137,0,102,subaru,std,four,sedan,fwd,front,97.2,0.8265257088,0.9083333333,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7.34375,Low,0,1
138,0,102,subaru,std,four,sedan,fwd,front,97.2,0.8265257088,0.9083333333,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,8.3928571429,Low,0,1
139,0,102,subaru,std,four,sedan,fwd,front,97.2,0.8265257088,0.9083333333,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,26,32,9.0384615385,Low,0,1
140,0,102,subaru,std,four,sedan,4wd,front,97,0.8265257088,0.9083333333,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,24,25,9.7916666667,Low,0,1
